Time,Sample number,Temperature (°C),Humidity (%RH),Sensor response (Ohm),PM response,Temperature MFC (°C),Nanofiber current (mA),Nanofiber voltage (V)
2020-07-10 17:38:33.016417,140,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:33.349809,141,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:33.509375,142,20.9,25.4,,,22.4,00.0006E-03,-04.096E+00
2020-07-10 17:38:33.800890,143,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:34.057716,144,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:34.293396,145,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:34.529048,146,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:34.797531,147,20.9,25.4,,,22.4,00.0006E-03,-04.096E+00
2020-07-10 17:38:35.051590,148,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:35.291521,149,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:35.582106,150,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:35.768499,151,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:36.063518,152,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:36.305403,153,20.9,25.4,,,22.4,00.0006E-03,-04.096E+00
2020-07-10 17:38:36.534548,154,20.9,25.4,,,22.4,00.0001E-03,-04.096E+00
2020-07-10 17:38:36.831661,155,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:37.038267,156,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:37.328323,157,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:37.536255,158,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:37.862863,159,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:38.031908,160,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:38.282128,161,20.9,25.4,,,22.41,00.0006E-03,-04.096E+00
2020-07-10 17:38:38.533225,162,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
2020-07-10 17:38:38.786950,163,20.9,25.4,,,22.41,00.0001E-03,-04.096E+00
